Estado;Bacia;Nome Poço ANP;Nome Poço Operador;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia) Assoc;Gás Natural (Mm³/dia) N Assoc;Gás Natural (Mm³/dia) Total;Volume Gás Royalties (m³/mês);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês);Período da Carga;Corrente;Grau API;Fração de Destilados|Lev|Cort;Fração de Destilados|Lev|Vol;Fração de Destilados|Méd|Corte;Fração de Destilados|Méd|Vol;Fração de Destilados|Pes|Corte;Fração de Destilados|Pes|Vol;% em Volumes Metano;% em Volumes Etano;% em Volumes Propano;% em Volumes Iso-Butano;% em Volumes Butano;% em Volumes Iso-Pentano;% em Volumes n-Pentano;% em Volumes Hexanos;% em Volumes Heptanos;% em Volumes Octanos;% em Volumes Nonanos;% em Volumes Decanos;% em Volumes Undecanos;% em Volumes Oxigênio;% em Volumes Nitrogênio;% em Volumes Gás Carbônico;Densidade GLP Gás;Densidade GLP Líquido;PCS GP(kJ/m³);Data de atualização
Sergipe;Sergipe;7-TTG-1DP-SES;7TTG1DPSES;TARTARUGA;SPE Tiêta;480000038359735;2021/02;295,5559;0;295,5559;9,3245;0;9,3245;260,07899;10,0716;Ponto de Coleta de Tartaruga;INSTALACAO EMB/DESEMB;653;2021/02;Tartaruga;39,95;< 210ºC;27,64%;210ºC a 500ºC;45,95%;> 500ºC;26,41%;54,54;19,58;14,52;1,93;4,08;,95;1,02;,64;,02;,11;,07;0;,02;0;1,05;1,47;2,00734;528,92452;43901,8531;09/06/2026
Sergipe;Sergipe;7-TTG-2HPA-SES;7TTG2HPASES;TARTARUGA;SPE Tiêta;480000038359735;2021/02;0;0;0;0;0;0;0;0;Ponto de Coleta de Tartaruga;INSTALACAO EMB/DESEMB;0;2021/02;Tartaruga;39,95;< 210ºC;27,64%;210ºC a 500ºC;45,95%;> 500ºC;26,41%;54,54;19,58;14,52;1,93;4,08;,95;1,02;,64;,02;,11;,07;0;,02;0;1,05;1,47;2,00734;528,92452;43901,8531;09/06/2026
Sergipe;Sergipe;7-TTG-3D-SES;7TTG3DSES;TARTARUGA;SPE Tiêta;480000038359735;2021/02;0;0;0;0;0;0;0;0;Ponto de Coleta de Tartaruga;INSTALACAO EMB/DESEMB;0;2021/02;Tartaruga;39,95;< 210ºC;27,64%;210ºC a 500ºC;45,95%;> 500ºC;26,41%;54,54;19,58;14,52;1,93;4,08;,95;1,02;,64;,02;,11;,07;0;,02;0;1,05;1,47;2,00734;528,92452;43901,8531;09/06/2026
Rio de Janeiro;Campos;7-TBMT-8H-RJS;7TBMT8HRJS;TUBARÃO MARTELO;Prio Bravo;48610001367200854;2021/02;1129,7971;0;1129,7971;2,0746;0;2,0746;26,85974;69,1785;FPSO BRAVO;UEP;672;2015/07;Tubarão Martelo;21,2;< 290ºC;24,3%;290ºC a 380ºC;13,4%;> 380ºC;62,3%;58,54;14,11;12;3,92;3,44;1,61;1,54;1,62;,31;,12;,15;0;0;0;1,52;1,13;2,05985;535,20526;41865,3215;09/06/2026
Rio de Janeiro;Campos;9-OGX-44HP-RJS;9OGXWAIKIKI2HPRJS;TUBARÃO MARTELO;Prio Bravo;48610001367200854;2021/02;1684,3583;0;1684,3583;6,5106;0;6,5106;84,29382;6759,922;FPSO BRAVO;UEP;648;2015/07;Tubarão Martelo;21,2;< 290ºC;24,3%;290ºC a 380ºC;13,4%;> 380ºC;62,3%;58,54;14,11;12;3,92;3,44;1,61;1,54;1,62;,31;,12;,15;0;0;0;1,52;1,13;2,05985;535,20526;41865,3215;09/06/2026
Rio de Janeiro;Campos;7-TBMT-2HP-RJS;7TBMT2HPRJS;TUBARÃO MARTELO;Prio Bravo;48610001367200854;2021/02;1054,7401;0;1054,7401;1,6248;0;1,6248;21,03717;85,7504;FPSO BRAVO;UEP;672;2015/07;Tubarão Martelo;21,2;< 290ºC;24,3%;290ºC a 380ºC;13,4%;> 380ºC;62,3%;58,54;14,11;12;3,92;3,44;1,61;1,54;1,62;,31;,12;,15;0;0;0;1,52;1,13;2,05985;535,20526;41865,3215;09/06/2026
Rio de Janeiro;Campos;7-TBMT-6HP-RJS;7TBMT6HPRJS;TUBARÃO MARTELO;Prio Bravo;48610001367200854;2021/02;1660,6083;0;1660,6083;4,2183;0;4,2183;54,61576;34,0866;FPSO BRAVO;UEP;672;2015/07;Tubarão Martelo;21,2;< 290ºC;24,3%;290ºC a 380ºC;13,4%;> 380ºC;62,3%;58,54;14,11;12;3,92;3,44;1,61;1,54;1,62;,31;,12;,15;0;0;0;1,52;1,13;2,05985;535,20526;41865,3215;09/06/2026
Rio de Janeiro;Campos;7-TBMT-4HP-RJS;7TBMT4HPRJS;TUBARÃO MARTELO;Prio Bravo;48610001367200854;2021/02;1887,5412;0;1887,5412;1,5156;0;1,5156;19,62326;12,075;FPSO BRAVO;UEP;670;2015/07;Tubarão Martelo;21,2;< 290ºC;24,3%;290ºC a 380ºC;13,4%;> 380ºC;62,3%;58,54;14,11;12;3,92;3,44;1,61;1,54;1,62;,31;,12;,15;0;0;0;1,52;1,13;2,05985;535,20526;41865,3215;09/06/2026
Rio de Janeiro;Campos;7-POL-1H-RJS;7POL1HRJS;POLVO;Prio Bravo;486100038882000;2021/02;309,1279;0;309,1279;,6879;0;,6879;17,11112;3565,5905;Polvo A;UEP;404;2020/02;Polvo;20,2;< 290ºC;24,6%;290ºC a 380ºC;13,8%;> 380ºC;61,6%;56,26249;12,7412;13,90022;5,2847;3,0411;1,654;1,4635;1,0598;,162;,09017;,04552;0;0;0;2,7633;1,532;2,05589;534,74407;40628,8366;09/06/2026
Rio de Janeiro;Campos;7-POL-2HPB-RJS;7POL2HPBRJS;POLVO;Prio Bravo;486100038882000;2021/02;500,4222;0;500,4222;2,6278;0;2,6278;65,36072;5541,8671;Polvo A;UEP;407;2020/02;Polvo;20,2;< 290ºC;24,6%;290ºC a 380ºC;13,8%;> 380ºC;61,6%;56,26249;12,7412;13,90022;5,2847;3,0411;1,654;1,4635;1,0598;,162;,09017;,04552;0;0;0;2,7633;1,532;2,05589;534,74407;40628,8366;09/06/2026
Rio de Janeiro;Campos;7-POL-4HP-RJS;7POL4HPRJS;POLVO;Prio Bravo;486100038882000;2021/02;96,3239;0;96,3239;,126;0;,126;3,13477;1925,9626;Polvo A;UEP;404;2020/02;Polvo;20,2;< 290ºC;24,6%;290ºC a 380ºC;13,8%;> 380ºC;61,6%;56,26249;12,7412;13,90022;5,2847;3,0411;1,654;1,4635;1,0598;,162;,09017;,04552;0;0;0;2,7633;1,532;2,05589;534,74407;40628,8366;09/06/2026
Rio de Janeiro;Campos;7-POL-5HA-RJS;POL-F2;POLVO;Prio Bravo;486100038882000;2021/02;0;0;0;0;0;0;0;0;Polvo A;UEP;672;2020/02;Polvo;20,2;< 290ºC;24,6%;290ºC a 380ºC;13,8%;> 380ºC;61,6%;56,26249;12,7412;13,90022;5,2847;3,0411;1,654;1,4635;1,0598;,162;,09017;,04552;0;0;0;2,7633;1,532;2,05589;534,74407;40628,8366;09/06/2026
Rio de Janeiro;Campos;7-POL-7HP-RJS;POL-Gx;POLVO;Prio Bravo;486100038882000;2021/02;66,013;0;66,013;0;0;0;0;53,4364;Polvo A;UEP;404;2020/02;Polvo;20,2;< 290ºC;24,6%;290ºC a 380ºC;13,8%;> 380ºC;61,6%;56,26249;12,7412;13,90022;5,2847;3,0411;1,654;1,4635;1,0598;,162;,09017;,04552;0;0;0;2,7633;1,532;2,05589;534,74407;40628,8366;09/06/2026
Rio de Janeiro;Campos;7-POL-11HP-RJS;POL-DY;POLVO;Prio Bravo;486100038882000;2021/02;491,8501;0;491,8501;1,36;0;1,36;33,82649;5278,8317;Polvo A;UEP;407;2020/02;Polvo;20,2;< 290ºC;24,6%;290ºC a 380ºC;13,8%;> 380ºC;61,6%;56,26249;12,7412;13,90022;5,2847;3,0411;1,654;1,4635;1,0598;,162;,09017;,04552;0;0;0;2,7633;1,532;2,05589;534,74407;40628,8366;09/06/2026
Rio de Janeiro;Campos;7-POL-12H-RJS;POL-R;POLVO;Prio Bravo;486100038882000;2021/02;273,7533;0;273,7533;1,3244;0;1,3244;32,942;1862,4714;Polvo A;UEP;407;2020/02;Polvo;20,2;< 290ºC;24,6%;290ºC a 380ºC;13,8%;> 380ºC;61,6%;56,26249;12,7412;13,90022;5,2847;3,0411;1,654;1,4635;1,0598;,162;,09017;,04552;0;0;0;2,7633;1,532;2,05589;534,74407;40628,8366;09/06/2026
Rio de Janeiro;Campos;7-POL-13H-RJS;POL-S;POLVO;Prio Bravo;486100038882000;2021/02;0;0;0;0;0;0;0;0;Polvo A;UEP;0;2020/02;Polvo;20,2;< 290ºC;24,6%;290ºC a 380ºC;13,8%;> 380ºC;61,6%;56,26249;12,7412;13,90022;5,2847;3,0411;1,654;1,4635;1,0598;,162;,09017;,04552;0;0;0;2,7633;1,532;2,05589;534,74407;40628,8366;09/06/2026
Rio de Janeiro;Campos;7-POL-14H-RJS;POL-T;POLVO;Prio Bravo;486100038882000;2021/02;252,2702;0;252,2702;,7622;0;,7622;18,9569;2975,2873;Polvo A;UEP;404;2020/02;Polvo;20,2;< 290ºC;24,6%;290ºC a 380ºC;13,8%;> 380ºC;61,6%;56,26249;12,7412;13,90022;5,2847;3,0411;1,654;1,4635;1,0598;,162;,09017;,04552;0;0;0;2,7633;1,532;2,05589;534,74407;40628,8366;09/06/2026
Rio de Janeiro;Campos;7-POL-15H-RJS;POL-U;POLVO;Prio Bravo;486100038882000;2021/02;22,0738;0;22,0738;,0081;0;,0081;,20053;688,5209;Polvo A;UEP;404;2020/02;Polvo;20,2;< 290ºC;24,6%;290ºC a 380ºC;13,8%;> 380ºC;61,6%;56,26249;12,7412;13,90022;5,2847;3,0411;1,654;1,4635;1,0598;,162;,09017;,04552;0;0;0;2,7633;1,532;2,05589;534,74407;40628,8366;09/06/2026
Rio de Janeiro;Campos;7-POL-16H-RJS;POL-W;POLVO;Prio Bravo;486100038882000;2021/02;388,9356;0;388,9356;,1543;0;,1543;3,83703;313,8121;Polvo A;UEP;401;2020/02;Polvo;20,2;< 290ºC;24,6%;290ºC a 380ºC;13,8%;> 380ºC;61,6%;56,26249;12,7412;13,90022;5,2847;3,0411;1,654;1,4635;1,0598;,162;,09017;,04552;0;0;0;2,7633;1,532;2,05589;534,74407;40628,8366;09/06/2026
Rio de Janeiro;Campos;7-POL-20H-RJS;POL-J;POLVO;Prio Bravo;486100038882000;2021/02;0;0;0;0;0;0;0;0;Polvo A;UEP;0;2020/02;Polvo;20,2;< 290ºC;24,6%;290ºC a 380ºC;13,8%;> 380ºC;61,6%;56,26249;12,7412;13,90022;5,2847;3,0411;1,654;1,4635;1,0598;,162;,09017;,04552;0;0;0;2,7633;1,532;2,05589;534,74407;40628,8366;09/06/2026
Rio de Janeiro;Campos;7-POL-24HP-RJS;POL-Oy;POLVO;Prio Bravo;486100038882000;2021/02;938,3968;0;938,3968;2,4916;0;2,4916;61,97352;7242,5399;Polvo A;UEP;407;2020/02;Polvo;20,2;< 290ºC;24,6%;290ºC a 380ºC;13,8%;> 380ºC;61,6%;56,26249;12,7412;13,90022;5,2847;3,0411;1,654;1,4635;1,0598;,162;,09017;,04552;0;0;0;2,7633;1,532;2,05589;534,74407;40628,8366;09/06/2026
Rio de Janeiro;Campos;7-POL-32HP-RJS;POL-Xc;POLVO;Prio Bravo;486100038882000;2021/02;373,9117;0;373,9117;1,778;0;1,778;44,22416;4662,9559;Polvo A;UEP;407;2020/02;Polvo;20,2;< 290ºC;24,6%;290ºC a 380ºC;13,8%;> 380ºC;61,6%;56,26249;12,7412;13,90022;5,2847;3,0411;1,654;1,4635;1,0598;,162;,09017;,04552;0;0;0;2,7633;1,532;2,05589;534,74407;40628,8366;09/06/2026
Rio de Janeiro;Campos;7-POL-36HP-RJS;POL-Pj;POLVO;Prio Bravo;486100038882000;2021/02;371,22;0;371,22;,3366;0;,3366;8,37329;525,7586;Polvo A;UEP;407;2020/02;Polvo;20,2;< 290ºC;24,6%;290ºC a 380ºC;13,8%;> 380ºC;61,6%;56,26249;12,7412;13,90022;5,2847;3,0411;1,654;1,4635;1,0598;,162;,09017;,04552;0;0;0;2,7633;1,532;2,05589;534,74407;40628,8366;09/06/2026
